Execution: 17-08-2018 14:25;
Date,Test,Execution time
17-08-2018 14:25,distributions-nohistos-jit,0:52.75
17-08-2018 14:26,distributions-nohistos-jit-opt,0:47.63
17-08-2018 14:26,distributions-nohistos-nojit,0:49.32
17-08-2018 14:27,distributions-nohistos-nojit-opt,0:19.57
